drug_code,dpd_url,pm_update_date,fetch_status,checked_on,pm_update_date_old,has_changed
95356.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95356.0,,HTTP_400,2026-05-02,,0
95357.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95357.0,,HTTP_400,2026-05-02,,0
95358.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95358.0,,HTTP_400,2026-05-02,,0
95359.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95359.0,,HTTP_400,2026-05-02,,0
95533.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=95533.0,,HTTP_400,2026-05-02,,0
96300.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96300.0,,HTTP_400,2026-05-02,,0
96400.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96400.0,,HTTP_400,2026-05-02,,0
96401.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96401.0,,HTTP_400,2026-05-02,,0
96501.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96501.0,,HTTP_400,2026-05-02,,0
96502.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96502.0,,HTTP_400,2026-05-02,,0
96503.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=96503.0,,HTTP_400,2026-05-02,,0
97082.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97082.0,,HTTP_400,2026-05-02,,0
97083.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97083.0,,HTTP_400,2026-05-02,,0
97084.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97084.0,,HTTP_400,2026-05-02,,0
97439.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97439.0,,HTTP_400,2026-05-02,,0
97440.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97440.0,,HTTP_400,2026-05-02,,0
97441.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97441.0,,HTTP_400,2026-05-02,,0
97442.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=97442.0,,HTTP_400,2026-05-02,,0
98137.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=98137.0,,HTTP_400,2026-05-02,,0
98239.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=98239.0,,HTTP_400,2026-05-02,,0
98240.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=98240.0,,HTTP_400,2026-05-02,,0
98610.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=98610.0,,HTTP_400,2026-05-02,,0
99838.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=99838.0,,HTTP_400,2026-05-02,,0
99859.0,https://health-products.canada.ca/dpd-bdpp/info?lang=en&code=99859.0,,HTTP_400,2026-05-02,,0
